OBJECTID,OccurredFrom_Timestamp,OccurredThrough_Timestamp,Reported_Timestamp,Statute_Text,Statute_Description,Weapon_Description,Larceny_Type,Location_Type,x,y
38569,1580853720000,1580853720000,1580871720000,Robbery,Robbery 1st: Forcible Theft Armed With a Deadly Weapon      ,Firearm,* No Larceny Type Specified *,Street,-77.59438931987896,43.147116305680065
38713,1581699600000,1582102800000,1582316400000,Larceny,Grand Larceny 4th: Value Property Greater Than $1000        ,* No Weapon Specified *,All Other Larcenies,School,-77.64796974489245,43.14645503434865
38858,1581883200000,1581922800000,1581983100000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,Theft from Motor Vehicle,Other Outside Location,-77.57976958139024,43.147152275616584
38864,1582367400000,1582368000000,1582762620000,Motor Vehicle Theft,Grand Larceny 4th: Motor Vehicle Value Exceeds $100         ,* No Weapon Specified *,Motor Vehicle Theft,Street,-77.62716442730661,43.134544820409516
38875,1582990200000,1582993200000,1583011320000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,All Other Larcenies,Parking Lot,-77.63853238007314,43.196984744616266
39087,1584102600000,1584102600000,1584121800000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,Theft from Building,Single Family Home,-77.57150174733634,43.14513260430688
39276,1582506960000,1582506960000,1582524960000,Motor Vehicle Theft,Grand Larceny 4th: Motor Vehicle Value Exceeds $100         ,* No Weapon Specified *,Motor Vehicle Theft,Street,-77.56805804184239,43.18260203002017
39315,1581552000000,1581594900000,1581614100000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,Theft from Motor Vehicle,Single Family Home,-77.62880886663004,43.14516206037655
39473,1582052940000,1582052940000,1582070940000,Larceny,Grand Larceny 4th: Value Property Greater Than $1000        ,* No Weapon Specified *,Motor Vehicle Theft,Street,-77.57102563505222,43.17232847898825
39514,1581277980000,1581277980000,1581295980000,Burglary,Burglary 3rd: Illegal Entry with Intent to Commit a Crime   ,* No Weapon Specified *,* No Larceny Type Specified *,Single Family Home,-77.58296239369302,43.17912694296639
39535,1585586400000,1585586640000,1585601040000,Larceny,Grand Larceny 4th: Value Property Greater Than $1000        ,* No Weapon Specified *,All Other Larcenies,Street,-77.61616382341568,43.18940807822979
39549,1583413200000,1583431200000,1583453700000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,All Other Larcenies,Street,-77.63773648968132,43.17997978814749
39603,1581430800000,1581431820000,1581449820000,Aggravated Assault,Menacing 2nd: Weapon                                        ,Knife/Cutting Instrument,* No Larceny Type Specified *,Single Family Home,-77.58363538445208,43.17654300940897
39698,1583195400000,1583231400000,1583251200000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,Theft from Motor Vehicle,Other Outside Location,-77.63156048783958,43.16749156969157
39758,1584540900000,1584541800000,1584557100000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,Theft from Motor Vehicle,Parking Lot,-77.63204285331412,43.179576129711826
39769,1582988400000,1583018100000,1583039580000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,All Other Larcenies,Other Residential,-77.63433946370264,43.13284843267719
39812,1584110460000,1584111300000,1584128700000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,Theft from Building,Single Family Home,-77.5829876707269,43.15331477810139
39826,1582819200000,1582820100000,1582838220000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,Theft from Motor Vehicle,Other Outside Location,-77.5899509685852,43.17565577267613
39973,1580818500000,1580818980000,1580836980000,Burglary,Burglary 2nd: Illegal Entry: Dwelling                       ,* No Weapon Specified *,* No Larceny Type Specified *,Single Family Home,-77.56543490020263,43.16274952134935
39993,1583705700000,1583736600000,1583752800000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,Theft from Motor Vehicle,Other Outside Location,-77.61822915470547,43.174140752700815
40027,1580976000000,1581033540000,1581520980000,Larceny,Grand Larceny 3rd: Property Value Exceeds $3000             ,* No Weapon Specified *,All Other Larcenies,Single Family Home,-77.60141283559604,43.183433273780665
40049,1585410300000,1585481700000,1585496100000,Burglary,Burglary 3rd: Illegal Entry with Intent to Commit a Crime   ,* No Weapon Specified *,* No Larceny Type Specified *,Single Family Home,-77.6027745475088,43.18380842762439
40077,1584306000000,1584349200000,1584364500000,Larceny,Auto Stripping 3rd: Other Than Abandoned Vehicle            ,* No Weapon Specified *,All Other Larcenies,Other Outside Location,-77.63182774070076,43.167127450255315
40123,1582300800000,1582536600000,1582554600000,Burglary,Burglary 2nd: Illegal Entry: Dwelling                       ,* No Weapon Specified *,* No Larceny Type Specified *,Single Family Home,-77.63814015805703,43.137773509242535
40140,1581609600000,1581656400000,1582066800000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,Theft from Motor Vehicle,Other Outside Location,-77.6329488732662,43.18191637858015
40164,1583090220000,1583090220000,1583108220000,Aggravated Assault,Menacing 2nd: Weapon                                        ,Knife/Cutting Instrument,* No Larceny Type Specified *,Multiple Dwelling,-77.65068774864754,43.139191897743935
40184,1583749860000,1583775660000,1583790060000,Burglary,Burglary 2nd: Illegal Entry: Dwelling                       ,* No Weapon Specified *,* No Larceny Type Specified *,Other Residential,-77.64831313701025,43.19020652956829
40201,1583924400000,1584122400000,1584660900000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,All Other Larcenies,Other Outside Location,-77.64165431992394,43.178289074050035
40322,1583658600000,1583659200000,1583676060000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,All Other Larcenies,Single Family Home,-77.59069687125239,43.142748232447005
40548,1584219600000,1584256800000,1584271260000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,Theft from Motor Vehicle,Other Outside Location,-77.56305422187138,43.1604666387801
40556,1584298800000,1584335700000,1584351000000,Larceny,Grand Larceny 4th: Value Property Greater Than $1000        ,* No Weapon Specified *,All Other Larcenies,Other Outside Location,-77.5938538668047,43.172032449239296
40578,1585400400000,1585402200000,1585418880000,Robbery,Robbery 2nd: Aided By Another                               ,Personal Weapons,* No Larceny Type Specified *,Street,-77.5564280712488,43.152558757089054
40803,1583028000000,1583052300000,1583070600000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,Theft from Motor Vehicle,Yard,-77.61985131782085,43.1491517456008
40823,1582398000000,1582448400000,1582489440000,Motor Vehicle Theft,Grand Larceny 4th: Motor Vehicle Value Exceeds $100         ,* No Weapon Specified *,Motor Vehicle Theft,Street,-77.63210183011192,43.15791102513818
40837,1583055300000,1583055300000,1583073660000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,All Other Larcenies,Street,-77.6299870902813,43.139079797208915
40864,1581098400000,1581163200000,1581185100000,Larceny,Grand Larceny 4th: Value Property Greater Than $1000        ,* No Weapon Specified *,Theft from Motor Vehicle,Other Outside Location,-77.63733270515303,43.16198829236952
40902,1584054000000,1584055800000,1584070860000,Aggravated Assault,Assault 2nd: Intent To Cause Physical Injury with Weapon/Ins,Knife/Cutting Instrument,* No Larceny Type Specified *,Unknown,-77.5894831485859,43.179280343304775
40935,1584585600000,1584585600000,1584796260000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,Theft from Building,Multiple Dwelling,-77.64049945873859,43.128525263883674
40965,1581910500000,1581910800000,1582307400000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,Theft from Motor Vehicle,Parking Lot,-77.59713661359055,43.163695559701495
41332,1582203600000,1582231500000,1582250460000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,Theft from Motor Vehicle,Parking Lot,-77.58853458924263,43.14633645227651
41373,1582693380000,1582693380000,1582711380000,Aggravated Assault,Menacing 2nd: Weapon                                        ,Blunt Object,* No Larceny Type Specified *,Multiple Dwelling,-77.59269524607724,43.172913588197645
41516,1584483600000,1584483900000,1584501480000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,All Other Larcenies,Grocery/Supermarket,-77.6346520819081,43.15953969350258
41681,1583670420000,1583670420000,1583684820000,Larceny,Grand Larceny 4th: Property Taken From Person               ,* No Weapon Specified *,Purse-snatching,Street,-77.59549665563671,43.17746799970517
41766,1582603200000,1582603200000,1583938800000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,All Other Larcenies,Single Family Home,-77.63446240995111,43.134212166611206
41767,1582601100000,1582601100000,1582619100000,Aggravated Assault,Assault 2nd: Intent To Cause Physical Injury with Weapon/Ins,Knife/Cutting Instrument,* No Larceny Type Specified *,Single Family Home,-77.63446240995111,43.134212166611206
41812,1584385200000,1584424800000,1584453600000,Larceny,Grand Larceny 4th: Value Property Greater Than $1000        ,* No Weapon Specified *,Theft from Motor Vehicle,Single Family Home,-77.6398621813156,43.14740652848777
41819,1584711000000,1584711000000,1584728820000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,Theft from Motor Vehicle,Street,-77.6157200083665,43.145149031230574
41858,1584828000000,1584867600000,1584884400000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,Theft from Motor Vehicle,Other Outside Location,-77.61982997896467,43.149933664300086
41886,1583234160000,1583234160000,1583423400000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,All Other Larcenies,Single Family Home,-77.56884097272314,43.161476410640276
41975,1582149300000,1582149600000,1582167600000,Motor Vehicle Theft,Grand Larceny 4th: Motor Vehicle Value Exceeds $100         ,* No Weapon Specified *,Motor Vehicle Theft,Street,-77.63431792042748,43.13808675769924
42073,1585088100000,1585131600000,1585147800000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,Theft from Motor Vehicle,Other Outside Location,-77.64457717298959,43.17025052422496
42259,1583964000000,1583964900000,1583980140000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,All Other Larcenies,Single Family Home,-77.63730878299106,43.182172489095535
42338,1582508700000,1582509240000,1582527240000,Aggravated Assault,Menacing 2nd: Weapon                                        ,Firearm,* No Larceny Type Specified *,Single Family Home,-77.63278497256597,43.17483902675468
42427,1581632820000,1581632820000,1581650820000,Robbery,Robbery 1st: Forcible Theft Armed With a Deadly Weapon      ,Firearm,* No Larceny Type Specified *,Street,-77.5668338277304,43.16563009919959
42519,1583614800000,1583686800000,1583701380000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,Theft from Motor Vehicle,Street,-77.57848898737271,43.14758602423001
42588,1584520560000,1584520560000,1584550080000,Motor Vehicle Theft,Grand Larceny 4th: Motor Vehicle Value Exceeds $100         ,* No Weapon Specified *,Motor Vehicle Theft,Street,-77.64029252225932,43.15309188943898
42671,1582981200000,1582982100000,1583197920000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,All Other Larcenies,Multiple Dwelling,-77.630801447766,43.14825733355026
42872,1580793300000,1580793300000,1580811300000,Motor Vehicle Theft,Unauthorized Use of a Vehicle: Without Owner Consent        ,* No Weapon Specified *,Motor Vehicle Theft,Multiple Dwelling,-77.63861306719123,43.18516218060323
42969,1581163200000,1581181200000,1584643200000,Larceny,Grand Larceny 4th: Value Property Greater Than $1000        ,* No Weapon Specified *,All Other Larcenies,Multiple Dwelling,-77.61714226381224,43.15110270298905
42977,1585077300000,1585077300000,1585091700000,Burglary,Burglary 2nd: Illegal Entry: Dwelling                       ,* No Weapon Specified *,* No Larceny Type Specified *,Single Family Home,-77.57272610086694,43.169515919877846
43062,1583100000000,1583132400000,1583175300000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,Theft from Motor Vehicle,Other Outside Location,-77.63022322887423,43.171482971378865
43066,1581249600000,1581354000000,1581429000000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,All Other Larcenies,Multiple Dwelling,-77.63097186934263,43.171484183823296
43164,1581411600000,1581519600000,1582045260000,Larceny,Grand Larceny 4th: Value Property Greater Than $1000        ,* No Weapon Specified *,All Other Larcenies,Single Family Home,-77.61990703785143,43.264503513221946
43268,1583701200000,1583739000000,1583757000000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,Theft from Motor Vehicle,Other Outside Location,-77.64558114188745,43.14285156578988
43276,1581082200000,1581087600000,1581515400000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,Theft from Building,Single Family Home,-77.62859641270346,43.152798894150266
43370,1585184400000,1585208700000,1585223400000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,Theft from Motor Vehicle,Street,-77.59156004737129,43.18004061339671
43403,1581894000000,1581894000000,1581912240000,Aggravated Assault,Assault 2nd: With Intent To Cause Serious Physical Injury   ,Personal Weapons,* No Larceny Type Specified *,Single Family Home,-77.63251079032345,43.177620846993264
43424,1585423200000,1585433340000,1585448280000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,Theft from Motor Vehicle,Street,-77.6299244970828,43.172413202351215
43453,1583334000000,1583368200000,1583389440000,Motor Vehicle Theft,Grand Larceny 4th: Motor Vehicle Value Exceeds $100         ,* No Weapon Specified *,Motor Vehicle Theft,Parking Lot,-77.55581638496238,43.148281573872175
43642,1583074800000,1583137800000,1583161800000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,Theft from Motor Vehicle,Other Outside Location,-77.58957729707016,43.185311260147614
43645,1582946640000,1582946640000,1582964640000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,All Other Larcenies,Street,-77.60874921039023,43.18628192541005
43842,1584905160000,1584906000000,1584954540000,Larceny,Grand Larceny 4th: Value Property Greater Than $1000        ,* No Weapon Specified *,All Other Larcenies,Restaurant,-77.55898439823082,43.14588592032995
43868,1583082000000,1583084640000,1583106240000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,Theft from Motor Vehicle,Street,-77.60305429373498,43.175078880669496
43962,1583759460000,1583766000000,1583773860000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,All Other Larcenies,Other Retail Store,-77.60471198777408,43.14387340549555
44122,1583590980000,1583590980000,1583608980000,Motor Vehicle Theft,Grand Larceny 4th: Motor Vehicle Value Exceeds $100         ,* No Weapon Specified *,Motor Vehicle Theft,Single Family Home,-77.64117921328203,43.16640427103592
44129,1582051500000,1582051500000,1582075200000,Robbery,Robbery 3rd                                                 ,Personal Weapons,* No Larceny Type Specified *,Street,-77.58448541887886,43.17543070105564
44173,1583870400000,1583920800000,1583952300000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,Theft from Motor Vehicle,Parking Lot,-77.59230653941614,43.152610659237716
44202,1583866800000,1583866800000,1584018420000,Robbery,Robbery 3rd                                                 ,Personal Weapons,* No Larceny Type Specified *,Single Family Home,-77.63988394010183,43.176253060577984
44304,1584540000000,1584705600000,1584726600000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,Theft from Motor Vehicle,Other Outside Location,-77.6017274852048,43.14089653876537
44321,1584322200000,1584409200000,1584457380000,Larceny,Grand Larceny 3rd: Property Value Exceeds $3000             ,* No Weapon Specified *,All Other Larcenies,Parking Lot,-77.59058048300722,43.17754231577022
44504,1583118000000,1583126100000,1583148600000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,All Other Larcenies,Other Outside Location,-77.60271760957272,43.156600465416425
44635,1585069200000,1585130400000,1585146600000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,Theft from Motor Vehicle,Other Outside Location,-77.63534556272141,43.18870988562705
45119,1583409600000,1583416800000,1583436600000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,All Other Larcenies,Single Family Home,-77.60365232084517,43.17541042985477
45741,1583695980000,1583696940000,1583714160000,Motor Vehicle Theft,Grand Larceny 4th: Motor Vehicle Value Exceeds $100         ,* No Weapon Specified *,Motor Vehicle Theft,Street,-77.60290559248799,43.175417990907015
45848,1585679940000,1585679940000,1585694340000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,All Other Larcenies,Grocery/Supermarket,-77.63103880811997,43.18012410140923
45849,1585242000000,1585243620000,1585258020000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,Theft from Motor Vehicle,Parking Lot,-77.63103880811997,43.18012410140923
45850,1584724260000,1584724260000,1584793080000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,All Other Larcenies,Grocery/Supermarket,-77.63103880811997,43.18012410140923
45851,1581086640000,1581343200000,1581602640000,Larceny,Grand Larceny 3rd: Property Value Exceeds $3000             ,* No Weapon Specified *,All Other Larcenies,Department/Discount Store,-77.63103880811997,43.18012410140923
46006,1581445800000,1582104600000,1582126500000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,Theft from Building,Single Family Home,-77.63815216319274,43.13089843593278
46126,1585222200000,1585229400000,1585318500000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,Theft from Motor Vehicle,Other Outside Location,-77.56004508281542,43.15114568504588
46205,1584740280000,1584740280000,1584754680000,Burglary,Burglary 3rd: Illegal Entry with Intent to Commit a Crime   ,* No Weapon Specified *,* No Larceny Type Specified *,Other Business Office,-77.59691994132935,43.150803033174945
46316,1585245600000,1585294200000,1585310400000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,Theft from Motor Vehicle,Other Outside Location,-77.55512677348207,43.15503404950224
46430,1583149500000,1583149500000,1583167500000,Aggravated Assault,Menacing 2nd: Weapon                                        ,Semiautomatic Handgun,* No Larceny Type Specified *,Street,-77.59093652550037,43.158469926510534
46496,1580937900000,1580937900000,1580956020000,Larceny,Grand Larceny 4th: Property Taken From Person               ,* No Weapon Specified *,Purse-snatching,Street,-77.5955665405002,43.17925680020321
46699,1583928000000,1585134780000,1585149180000,Burglary,Burglary 2nd: Illegal Entry: Dwelling                       ,* No Weapon Specified *,* No Larceny Type Specified *,Single Family Home,-77.63120283398416,43.16539873282089
46747,1585098900000,1585098900000,1585115100000,Burglary,Burglary 2nd: Illegal Entry: Dwelling                       ,* No Weapon Specified *,* No Larceny Type Specified *,Other Residential,-77.64045364016143,43.193338170024944
46762,1584136800000,1584207000000,1584232920000,Larceny,Grand Larceny 4th: Value Property Greater Than $1000        ,* No Weapon Specified *,Theft from Motor Vehicle,Other Outside Location,-77.62664162846899,43.19113145813281
46844,1583253000000,1583289000000,1583335440000,Burglary,Burglary 2nd: Illegal Entry: Dwelling                       ,* No Weapon Specified *,* No Larceny Type Specified *,Single Family Home,-77.64406629631178,43.205955573008715
46953,1581548400000,1581571200000,1581597000000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,Theft from Motor Vehicle,Single Family Home,-77.59644860945218,43.18290613228265
47384,1581280020000,1581280020000,1581298020000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,All Other Larcenies,Street,-77.63335567889574,43.13395978049489
47989,1583294400000,1583298000000,1583325000000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,Theft from Building,Single Family Home,-77.63286986367426,43.162166217544645
48029,1584896280000,1584896700000,1584921360000,Robbery,Robbery 1st: Displays What Appears To Be a Firearm          ,Firearm,* No Larceny Type Specified *,Single Family Home,-77.6064858194496,43.14085348874703
48072,1582866000000,1582866000000,1582885560000,Motor Vehicle Theft,Grand Larceny 4th: Motor Vehicle Value Exceeds $100         ,* No Weapon Specified *,Motor Vehicle Theft,Street,-77.62486568603937,43.179438595781825
48098,1581903000000,1581933600000,1581963360000,Burglary,Burglary 2nd: Illegal Entry: Dwelling                       ,* No Weapon Specified *,* No Larceny Type Specified *,Single Family Home,-77.6350496343278,43.190231802523506
48120,1581526740000,1581526740000,1581561900000,Aggravated Assault,Assault 2nd: Intent To Cause Physical Injury with Weapon/Ins,Semiautomatic Handgun,* No Larceny Type Specified *,Street,-77.64134617214953,43.15475641056369
48146,1584119820000,1584187200000,1584216000000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,Theft from Motor Vehicle,Other Outside Location,-77.62955699558012,43.186976065139866
48226,1581532200000,1581537600000,1581553200000,Burglary,Burglary 2nd: Illegal Entry: Dwelling                       ,* No Weapon Specified *,* No Larceny Type Specified *,Single Family Home,-77.57202013898312,43.18619250642883
48243,1583698560000,1583698560000,1583712960000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,Shoplifting,Grocery/Supermarket,-77.64562001413145,43.18104817785267
48547,1585325700000,1585325700000,1585341600000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,All Other Larcenies,Garage/Shed,-77.64471515883427,43.13779367687976
48982,1582274700000,1582278600000,1582309500000,Aggravated Assault,Menacing 2nd: Weapon                                        ,Physical Force,* No Larceny Type Specified *,Parking Lot,-77.55959092551302,43.1461753500553
49100,1583536500000,1583540340000,1583558340000,Larceny,Grand Larceny 4th: Credit Card                              ,* No Weapon Specified *,All Other Larcenies,Multiple Dwelling,-77.63580946683811,43.1358230748343
